Image,x1,y1,x2,y2,x3,y3,x4,y4
Im6.tif,0.516,0.252,0.598,0.352,0.317,0.175,0.395,0.285
Im11.tif,0.584,0.387,0.657,0.496,0.334,0.352,0.403,0.453
Im18.tif,,,,,,,,
Im19.tif,0.54,0.527,0.653,0.67,0.315,0.507,0.425,0.654
Im22.tif,0.652,0.412,0.755,0.552,0.418,0.27,0.514,0.406
Im23.tif,0.551,0.398,0.658,0.555,0.32,0.295,0.436,0.455
Im25.tif,,,,,,,,
Im32.tif,0.543,0.371,0.612,0.466,0.418,0.367,0.488,0.465
Im36.tif,0.532,0.305,0.612,0.401,0.379,0.295,0.455,0.401
Im37.tif,0.554,0.453,0.637,0.552,0.373,0.457,0.451,0.561
Im39.tif,0.508,0.404,0.585,0.504,0.361,0.4,0.432,0.507
Im42.tif,0.563,0.667,0.658,0.792,0.336,0.626,0.431,0.752
Im46.tif,0.517,0.615,0.579,0.706,0.362,0.621,0.429,0.711
Im48.tif,0.496,0.61,0.574,0.735,0.373,0.572,0.465,0.694
Im49.tif,0.566,0.388,0.635,0.479,0.462,0.377,0.528,0.46
Im50.tif,0.617,0.323,0.717,0.467,0.366,0.297,0.476,0.44
Im52.tif,0.53,0.425,0.632,0.561,0.316,0.387,0.428,0.522
Im53.tif,0.588,0.55,0.676,0.664,0.408,0.513,0.498,0.626
Im55.tif,0.555,0.353,0.665,0.486,0.343,0.355,0.431,0.479
Im57.tif,0.7,0.268,0.809,0.404,0.408,0.246,0.513,0.373
Im64.tif,0.547,0.426,0.626,0.522,0.347,0.415,0.415,0.513
Im65.tif,0.474,0.532,0.554,0.628,0.325,0.503,0.406,0.603
Im78.tif,0.566,0.555,0.645,0.677,0.326,0.514,0.419,0.635
Im85.tif,0.588,0.319,0.689,0.443,0.348,0.25,0.45,0.384
Im88.tif,0.649,0.31,0.74,0.431,0.456,0.247,0.544,0.375
Im129.tif,0.526,0.286,0.606,0.396,0.349,0.276,0.43,0.388
Im131.tif,0.509,0.508,0.599,0.62,0.329,0.505,0.416,0.622
Im160.tif,0.671,0.461,0.802,0.626,0.378,0.37,0.521,0.531
Im161.tif,0.597,0.339,0.716,0.489,0.342,0.288,0.459,0.435
Im170.tif,0.554,0.708,0.629,0.805,0.381,0.673,0.45,0.77
Im203.tif,0.45,0.605,0.53,0.718,0.321,0.566,0.409,0.684
Im211.tif,0.515,0.353,0.6,0.456,0.329,0.345,0.404,0.449
Im233.tif,0.503,0.396,0.594,0.506,0.343,0.346,0.439,0.463
Im240.tif,0.597,0.394,0.686,0.518,0.39,0.344,0.476,0.475
Im241.tif,0.593,0.618,0.707,0.762,0.302,0.57,0.414,0.717
Im244.tif,0.566,0.544,0.651,0.646,0.417,0.509,0.505,0.617
Im251.tif,0.606,0.712,0.665,0.788,0.457,0.68,0.51,0.761
Im253.tif,0.548,0.56,0.656,0.692,0.341,0.523,0.448,0.661
Im258.tif,0.566,0.412,0.643,0.52,0.385,0.373,0.467,0.483
Im265.tif,0.571,0.595,0.664,0.719,0.349,0.578,0.444,0.704
Im266.tif,0.615,0.634,0.7,0.757,0.372,0.566,0.455,0.683
Im284.tif,0.542,0.492,0.617,0.587,0.339,0.459,0.414,0.554
Im289.tif,0.545,0.346,0.631,0.454,0.36,0.318,0.441,0.414
Im291.tif,0.511,0.601,0.587,0.707,0.315,0.533,0.392,0.642
Im294.tif,0.619,0.314,0.685,0.4,0.451,0.302,0.517,0.384
Im301.tif,0.577,0.392,0.652,0.491,0.422,0.398,0.495,0.487
Im305.tif,0.586,0.5,0.662,0.593,0.434,0.445,0.504,0.541
Im309.tif,0.655,0.489,0.738,0.606,0.459,0.461,0.547,0.579
Im321.tif,0.537,0.336,0.621,0.449,0.321,0.316,0.401,0.434
Im326.tif,0.539,0.488,0.612,0.587,0.384,0.459,0.46,0.56
